time,CO2_Vip,HeatTemp_Vip,HumDef_Vip,MinPipeGrow_Vip,MinPipeLow_Vip,VentLeewMin_Vip,VentLeew_Vip,VentWind_Vip,WaterSupInt_Vip
43327.02083,NaN,19,1.8,0,0,0,20,24,NaN
43327.02431,NaN,19,1.8,0,0,0,20,24,NaN
43327.02778,NaN,19,1.8,0,0,0,20,24,NaN
43327.03125,NaN,19,1.8,0,0,0,20,24,NaN
43327.03472,NaN,19,1.8,0,0,0,20,24,NaN
43327.03819,NaN,19,1.8,0,0,0,20,24,NaN
43327.04167,NaN,19,1.8,0,0,0,20,24,NaN
43327.04514,NaN,19,1.8,0,0,0,20,24,NaN
43327.04861,NaN,19,1.8,0,0,0,20,24,NaN
43327.05208,NaN,19,1.8,0,0,0,20,24,NaN
43327.05556,NaN,19,1.8,0,0,0,20,24,NaN
43327.05903,NaN,19,1.8,0,0,0,20,24,NaN
43327.0625,NaN,19,1.8,0,0,0,20,24,NaN
43327.06597,NaN,19,1.8,0,0,0,20,24,NaN
43327.06944,NaN,19,1.8,0,0,0,20,24,NaN
43327.07292,NaN,19,1.8,0,0,0,20,24,NaN
43327.07639,NaN,19,1.8,0,0,0,20,24,NaN
43327.07986,NaN,19,1.8,0,0,0,20,24,NaN
43327.08333,NaN,19,1.8,0,0,0,20,24,NaN
43327.08681,NaN,19,1.8,0,0,0,20,24,NaN
43327.09028,NaN,19,1.8,0,0,0,20,24,NaN
43327.09375,NaN,19,1.8,0,0,0,20,24,NaN
43327.09722,NaN,19,1.8,0,0,0,20,24,NaN
43327.10069,NaN,19,1.8,0,0,0,20,24,NaN
43327.10417,NaN,19,1.8,0,0,0,20,24,NaN
43327.10764,NaN,19,1.8,0,0,0,20,24,NaN
43327.11111,NaN,19,1.8,0,0,0,20,24,NaN
43327.11458,NaN,19,1.8,0,0,0,20,24,NaN
43327.11806,NaN,19,1.8,0,0,0,20,24,NaN
43327.12153,NaN,19,1.8,0,0,0,20,24,NaN
43327.125,NaN,19,1.8,0,0,0,20,24,NaN
43327.12847,NaN,19,1.8,0,0,0,20,24,NaN
43327.13194,NaN,19,1.8,0,0,0,20,24,NaN
43327.13542,NaN,19,1.8,0,0,0,20,24,NaN
43327.13889,NaN,19,1.8,0,0,0,20,24,NaN
43327.14236,NaN,19,1.8,0,0,0,20,24,NaN
43327.14583,NaN,19,1.8,0,0,0,20,24,NaN
43327.14931,NaN,19,1.8,0,0,0,20,24,NaN
43327.15278,NaN,19,1.8,0,0,0,20,24,NaN
43327.15625,NaN,19,1.8,0,0,0,20,24,NaN
43327.15972,NaN,19,1.8,0,0,0,20,24,NaN
43327.16319,NaN,19,1.8,0,0,0,20,24,NaN
43327.16667,NaN,19,1.8,0,0,0,20,24,NaN
43327.17014,NaN,19,1.8,0,0,0,20,24,NaN
43327.17361,NaN,19,1.8,0,0,0,20,24,NaN
43327.17708,NaN,19,1.8,0,0,0,20,24,NaN
43327.18056,NaN,19,1.8,0,0,0,20,24,NaN
43327.18403,NaN,19,1.8,0,0,0,20,24,NaN
43327.1875,NaN,19,1.8,0,0,0,20,24,NaN
43327.19097,NaN,19,1.8,0,0,0,20,24,NaN
43327.19444,NaN,19,1.8,0,0,0,20,24,NaN
43327.19792,NaN,19,1.8,0,0,0,20,24,NaN
43327.20139,NaN,19,1.8,0,0,0,20,24,NaN
43327.20486,NaN,19,1.8,0,0,0,20,24,NaN
43327.20833,NaN,19,1.8,0,0,0,20,24,NaN
43327.21181,NaN,19,1.8,0,0,0,20,24,NaN
43327.21528,NaN,19,1.8,0,0,0,20,24,NaN
43327.21875,NaN,19,1.8,0,0,0,20,24,NaN
43327.22222,NaN,19,1.8,0,0,0,20,24,NaN
43327.22569,NaN,19,1.8,0,0,0,20,24,NaN
43327.22917,NaN,19,1.8,0,0,0,20,24,NaN
43327.23264,NaN,19,1.8,0,0,0,20,24,NaN
43327.23611,NaN,19,1.8,0,0,0,20,24,NaN
43327.23958,NaN,19.09999999,1.8,0,0,0,20.09999999,24,NaN
43327.24306,NaN,19.1,1.8,0,0,0,20.1,24,NaN
43327.24653,NaN,19.2,1.8,0,0,0,20.2,24,NaN
43327.25,NaN,19.2,1.8,0,0,0,20.2,24,NaN
43327.25347,NaN,19.2,1.8,0,0,0,20.2,24,NaN
43327.25694,NaN,19.3,1.8,0,0,0,20.3,24,NaN
43327.26042,NaN,19.3,1.8,0,0,0,20.3,24,NaN
43327.26389,NaN,19.4,1.8,0,0,0,20.4,24,NaN
43327.26736,NaN,19.4,1.8,0,0,0,20.4,24,NaN
43327.27083,NaN,19.4,1.8,0,0,0,20.4,24,NaN
43327.27431,NaN,19.5,1.8,0,0,0,20.5,24,NaN
43327.27778,NaN,19.5,1.8,0,0,0,20.5,24,NaN
43327.28125,NaN,19.6,1.8,0,0,0,20.6,24,NaN
43327.28472,NaN,19.6,1.8,0,0,0,20.6,24,NaN
43327.28819,NaN,19.7,1.8,0,0,0,20.7,24,NaN
43327.29167,NaN,19.7,1.8,0,0,0,20.7,24,NaN
43327.29514,NaN,19.70000001,1.8,0,0,0,20.70000001,24,NaN
43327.29861,NaN,19.79999999,1.8,0,0,0,20.79999999,24,NaN
43327.30208,NaN,19.8,1.8,0,0,0,20.8,24,NaN
43327.30556,NaN,19.9,1.8,0,0,0,20.9,24,NaN
43327.30903,NaN,19.9,1.8,0,0,0,20.9,24,NaN
43327.3125,NaN,19.90000001,1.8,0,0,0,20.90000001,24,NaN
43327.31597,NaN,19.99999999,1.8,0,0,0,20.99999999,24,NaN
43327.31944,NaN,20,1.8,0,0,0,21,24,NaN
43327.32292,NaN,20,1.8,0,0,0,21,24,NaN
43327.32639,NaN,20,1.8,0,0,0,21,24,NaN
43327.32986,NaN,20,1.8,0,0,0,21,24,NaN
43327.33333,NaN,20,1.8,0,0,0,21,24,NaN
43327.33681,NaN,20,1.8,0,0,0,21,24,NaN
43327.34028,NaN,20,1.8,0,0,0,21,24,NaN
43327.34375,NaN,20,1.8,0,0,0,21,24,NaN
43327.34722,NaN,20,1.8,0,0,0,21,24,NaN
43327.35069,NaN,20,1.8,0,0,0,21,24,NaN
43327.35417,NaN,20,1.8,0,0,0,21,24,NaN
43327.35764,NaN,20,1.8,0,0,0,21,24,NaN
43327.36111,NaN,20,1.8,0,0,0,21,24,NaN
43327.36458,NaN,20,1.8,0,0,0,21,24,NaN
43327.36806,NaN,20,1.8,0,0,0,21,24,NaN
43327.37153,NaN,20,1.8,0,0,0,21,24,NaN
43327.375,NaN,20,1.8,0,0,0,21,24,NaN
43327.37847,NaN,20,1.8,0,0,0,21,24,NaN
43327.38194,NaN,20,1.8,0,0,0,21,24,NaN
43327.38542,NaN,20,1.8,0,0,0,21,24,NaN
43327.38889,NaN,20,1.8,0,0,0,21,24,NaN
43327.39236,NaN,20,1.8,0,0,0,21,24,NaN
43327.39583,NaN,20,1.8,0,0,0,21,24,NaN
43327.39931,NaN,20,1.8,0,0,0,21,24,NaN
43327.40278,NaN,20,1.8,0,0,0,21,24,NaN
43327.40625,NaN,20,1.8,0,0,0,21,24,NaN
43327.40972,NaN,20,1.8,0,0,0,21,24,NaN
43327.41319,NaN,20,1.8,0,0,0,21,24,NaN
43327.41667,NaN,20,1.8,0,0,0,21,24,NaN
43327.42014,NaN,20,1.8,0,0,0,21,24,NaN
43327.42361,NaN,20,1.8,0,0,0,21,24,NaN
43327.42708,NaN,20,1.8,0,0,0,21,24,NaN
43327.43056,NaN,20,1.8,0,0,0,21,24,NaN
43327.43403,NaN,20,1.8,0,0,0,21,24,NaN
43327.4375,NaN,20,1.8,0,0,0,21,24,NaN
43327.44097,NaN,20,1.8,0,0,0,21,24,NaN
43327.44444,NaN,20,1.8,0,0,0,21,24,NaN
43327.44792,NaN,20,1.8,0,0,0,21,24,NaN
43327.45139,NaN,20,1.8,0,0,0,21,24,NaN
43327.45486,NaN,20,1.8,0,0,0,21,24,NaN
43327.45833,NaN,20,1.8,0,0,0,21,24,NaN
43327.46181,NaN,20,1.8,0,0,0,21,24,NaN
43327.46528,NaN,20,1.8,0,0,0,21,24,NaN
43327.46875,NaN,20,1.8,0,0,0,21,24,NaN
43327.47222,NaN,20,1.8,0,0,0,21,24,NaN
43327.47569,NaN,20,1.8,0,0,0,21,24,NaN
43327.47917,NaN,20,1.8,0,0,0,21,24,NaN
