Date,Tair,Rhair,CO2air,HumDef,VentLee,VentWind,AssimLight,EnScr,BlckScr,Tpipe,CO2reg,PARin,Tair_sigrow,Rhair_sigrow,PARin_sigrow,stomata_cond,Netrad_ridder,Transp_ridder,Tleaf_ridder
3/13/2022 16:00,21.60,51.60,550.00,9.17,0.00,0.00,100.00,0.10,0.20,0.00,1.00,93.00,24.60,55.20,77.00,0.05,94.60,145.00,23.10
3/13/2022 16:05,22.40,55.80,577.00,8.77,0.00,0.00,100.00,0.10,0.20,0.00,1.00,95.00,24.47,55.37,83.00,0.05,87.40,132.00,21.80
3/13/2022 16:09,24.00,46.90,571.00,11.54,20.10,21.00,100.00,0.10,0.20,0.00,1.00,117.00,24.34,55.53,89.00,0.05,65.70,118.40,24.10
3/13/2022 16:14,21.20,54.10,584.00,8.50,0.00,0.00,100.00,0.10,0.20,0.00,1.00,120.00,24.21,55.70,95.00,0.05,81.60,120.00,21.50
3/13/2022 16:20,21.90,59.10,609.00,7.88,0.00,0.00,100.00,0.10,0.20,0.00,1.00,129.00,23.91,57.40,101.33,0.05,77.60,118.05,21.80
3/13/2022 16:25,22.80,50.00,598.00,10.15,21.10,19.10,100.00,0.10,0.20,0.00,1.00,115.00,23.60,59.10,107.67,0.05,73.60,116.10,22.10
3/13/2022 16:30,20.70,58.00,580.00,7.55,0.00,0.00,100.00,0.10,0.20,0.00,1.00,117.00,23.30,60.80,114.00,0.06,76.70,114.70,20.90
3/13/2022 16:34,22.20,54.40,587.00,8.94,0.00,0.00,100.00,0.10,0.20,0.00,1.00,108.00,23.30,59.87,103.00,0.06,58.50,98.70,22.30
3/13/2022 16:39,22.00,49.40,586.00,9.81,7.10,7.30,100.00,0.10,0.20,0.00,2.00,103.00,23.30,58.93,92.00,0.06,47.90,88.60,22.10
3/13/2022 16:45,21.80,54.30,584.00,8.76,0.00,0.00,100.00,0.10,0.20,0.00,2.00,83.00,23.30,58.00,81.00,0.06,40.10,82.40,21.90
3/13/2022 16:50,22.70,50.30,568.00,10.03,19.20,10.60,100.00,0.10,0.20,0.00,2.00,88.00,23.24,58.17,85.33,0.06,32.30,76.20,21.70
3/13/2022 16:54,21.60,53.60,534.00,8.79,0.00,0.00,100.00,0.10,0.20,0.00,2.00,116.00,23.19,58.33,89.67,0.06,43.80,82.30,21.70
3/13/2022 16:59,22.20,53.80,537.00,9.06,0.00,0.00,100.00,0.10,0.20,0.00,2.00,91.00,23.13,58.50,94.00,0.06,36.70,87.60,22.00
3/13/2022 17:05,22.10,49.40,510.00,9.86,18.80,10.10,100.00,0.10,0.20,0.00,1.00,88.00,23.08,56.77,86.33,0.05,36.30,85.40,21.95
3/13/2022 17:10,21.00,56.40,513.00,7.97,0.00,0.00,100.00,0.10,0.20,0.00,1.00,80.00,23.04,55.03,78.67,0.05,35.90,83.20,21.90
